Date,Title,Number,Scripture Excerpt,Scripture Reference,Devotional Text
01-11,01-11,11,Then Rebekah and her servants mounted the camels and left with Abraham’s servant. ,Genesis 24:61,"Rebekah’s journey to meet Isaac is an inspiring lesson in devotion to the unseen. Although she had never seen Isaac, Rebekah willingly separated from her family for life. There was no courtship, no “trial period,” and no way home! A thousand-mile camel ride stood between her family and her decision to marry Isaac.

As though leaving her family was not enough, Rebekah embarked on one of the roughest journeys a bride could ever face, involving weeks of camelback travel over harsh desert terrain. All her endurance was based upon the servant’s description of Isaac. No wonder Isaac’s heart was filled with love for this bride when he saw the camels approaching (Genesis 24:63-67)!

In the same way, Jesus is looking for His Bride. He is looking for a Church that is willing to separate forever from its family and follow after Him. His Church must be able to endure hardship on its journey through the desert of life. The Church presses on toward heaven with one motive: devotion to Jesus.

Get on your camel one more time, for this may be the day you see your long-awaited Bridegroom!"
01-12,01-12,12,"Honor the Lord with your wealth and with the best part of everything your land produces. Then he will fill your barns with grain, and your vats will overflow with the finest wine. ",Proverbs 3:9-10,"Isaac was a man whose life demonstrated the blessing of God. He was undoubtedly a tithing believer and a successful farmer, as were his father Abraham and son Jacob. Genesis 26:12 tells us, “That year Isaac’s crops were tremendous! He harvested a hundred times more grain than he planted, for the Lord blessed him.” While others were perishing in the famine, Isaac sowed in the land and reaped a hundredfold return.

It was Isaac’s attitude, however, that brought the blessing of God. When he had dug a “gushing spring” (Genesis 26:19), the shepherds of Gerar came and stole it from him. Instead of quarreling, he moved on and “dug another well” (v. 21). When that new well was stolen, “he dug another well” (v. 22). Finally his well was not stolen, and the Lord said to him, “Do not be afraid, for I am with you and will bless you” (v. 24).

Attitudes of bitterness, anger, resentment, and strife will keep you from financial blessing. Dig another well, keep your heart right, and God will pour out even more blessings than before!"
01-13,01-13,13,"But the Lord is in his holy Temple; the Lord still rules from heaven. He watches everything closely, examining everyone on earth. ",Psalm 11:4,"Poor Jacob thought his trickery of his father had gone unnoticed. He forgot that God was watching everything and everybody—including him! Someone said, “You may get by, but you won’t get away!” Little did Jacob know that God would discipline him by preparing someone even trickier than he to enter his life. “My child, don’t ignore it when the Lord disciplines you, and don’t be discouraged when he corrects you. For the Lord corrects those he loves. . . .”(Proverbs 3:11-12).

For seven long years Jacob served Laban for his daughter Rachel. Then, on the wedding night, Laban tricked him into marrying Leah. It is interesting that Jacob deceived his father in a tent, and later he himself was deceived in a tent! God will discipline you with the exact process you used on someone else. God loved Jacob and knew that until he met a superior deceiver, he would be tricking, deceiving, and supplanting for the rest of his life.

Do not despise the Lord’s work in your life. He loves you, and His discipline will yield “a quiet harvest of right living” (Hebrews 12:11)."
01-14,01-14,14,"The Lord’s promises are pure, like silver refined in a furnace, purified seven times over. ",Psalm 12:6,"One word from God can completely revolutionize your life. Jacob received one such word in Genesis 31:10-12, when God instructed him concerning the “streaked, speckled, and spotted” sheep. With that one word, Jacob developed a specific process of breeding the sheep that gradually converted the entire flock to his ownership!

God sees the dilemma you are in, whether it’s with an oppressive employer, a difficult marriage partner, or some other strained relationship. He can give you one word of wisdom that will completely change your situation. We call this word revelation. Through dreams and visions, the Holy Spirit communicates to your mind something that is in the mind of God. In Jacob’s case, it made no sense to put peeled rods in front of sheep, but he did it anyway. His obedience to that word from God brought him much success and wealth (Genesis 30:43).

Such is the miracle of God’s Word. It may seem ridiculous to the natural mind, but God’s Word works. You must wait upon Him to receive that Word, and then keep it before your eyes daily, just as Jacob placed the rods before his sheep."
01-15,01-15,15,Your enemies will be right in your own household! ,Matthew 10:36,"Jesus taught us that serving God might prove costly in family relationships. Jacob learned that painful lesson when his close family became the immediate source of his greatest problems. His father-in-law Laban cheated him, tricked him, abused him, and even chased him when he left (Genesis 31:23). In another instance, Jacob’s brother Esau appeared to be angry to the point of revenge when he came to meet Jacob with his four hundred men. The outcome in both these situations? God intervened on Jacob’s behalf! Laban was rebuked in a dream: “Be careful about what you say to Jacob!” Esau received Jacob back with tears and kisses (Genesis 33:4).

Jesus told His disciples to decide whether they loved Him or their relatives more. Because the time may come when a relative departs from the Lord’s way, we, too, must choose to follow the “narrow way.” This doesn’t mean that we intentionally ostracize our relatives, only that we are fully prepared to be rejected or misunderstood by them.

God helped Jacob with both Laban and Esau. If you are having a family conflict, He will help you through it as well!"
01-16,01-16,16,"But Jacob panted, “I will not let you go unless you bless me.” ",Genesis 32:26,"When Jacob wrestled with the angel at Peniel, the angel tried to overpower him. He knew that unless he could break Jacob’s stubborn and deceptive will, Jacob would never attain greatness in God.

Jesus told His disciples in Matthew 11:29, “Take my yoke upon you,” an obvious statement of learning the “rest” of submission. You will not go very far with God until you allow Him to subdue your drive, energies, ambitions, and passions. When He wins that battle over you, the “rest” of God will follow.

Later in Jacob’s struggle, he held on to the angel of the Lord, forcefully pressing in for a blessing from the One who had subdued him. Jesus told His disciples that “the Kingdom of Heaven has been forcefully advancing, and violent people attack it” (Matthew 11:12).

God wants you to rest in your flesh and be forceful in your spirit! That balance changed Jacob from a trickster to a prince with God."
01-17,01-17,17,"Who may worship in your sanctuary, Lord? Who may enter your presence on your holy hill? Those who lead blameless lives and do what is right, speaking the truth from sincere hearts. ",Psalm 15:1-2,"The lessons of purity and holiness are simple: tell the truth, speak no gossip, honor the righteous, keep your word, be generous with others, and accept no bribes. These simple commandments address the way we relate to our fellow man. Yet who among us has not broken these simple guidelines and does not need to repent?

God is so merciful, even with the likes of us. Despite all Jacob’s transgressions, when he relinquished his foreign gods, the Lord met him and was merciful to him (Genesis 35:2, 9). Jesus told the Pharisees, “I want you to be merciful; I don’t want your sacrifices” (Matthew 12:7). He reminded them of the value of one human being. Because Jesus is compassionate, He “will not crush those who are weak, or quench the smallest hope, until he brings full justice with his final victory” (v. 20).

Like Jacob, we all “fall short of God’s glorious standard” (Romans 3:23), and God patiently works with us to restore us into His presence. If sin has knocked you off God’s holy hill, get up, repent, and climb it again. You will find a merciful Lord at the top, greeting you with open arms!"
01-18,01-18,18,"Stop judging others, and you will not be judged. For others will treat you as you treat them. Whatever measure you use in judging others, it will be used to measure how you are judged. ",Matthew 7:1-2,"How quick we are to judge something or someone with a standard we cannot live up to ourselves. When Judah discovered his daughter-in-law’s prostitution, his first reaction was “Bring her out and burn her!” (Genesis 38:24). The problem he failed to realize was that he was the one who had hired her as a prostitute!

When Nathan told David a story about a poor man who had only one sheep that was stolen by a man who had many sheep, David was enraged. “As surely as the Lord lives,” he vowed, “any man who would do such a thing deserves to die!” (2 Samuel 12:5). Verse 7 says, “Then Nathan said to David, ‘You are that man!’ ”

The Pharisees wrongly judged Jesus Christ when they said He cast out devils by the devil. Jesus asked them, “And if I am empowered by the prince of demons, what about your own followers? They cast out demons, too, so they will judge you for what you have said” (Matthew 12:27).

Jesus taught His disciples that they would be judged by the same standard with which they judged others (Matthew 7:2). It’s hard to remove a splinter from someone else’s eye when there is a log in your own!"
01-19,01-19,19,"You have tested my thoughts and examined my heart in the night. You have scrutinized me and found nothing amiss, for I am determined not to sin in what I say. ",Psalm 17:3,"Everyone goes through a process of proving and testing. Jesus taught that the seed falls on various types of ground, each type representing the human heart (Matthew 13). Each of us will be tested to see how well we battle the areas of unbelief, discouragement, and distraction.

The birds mentioned in Matthew 13:4 are the demonic thieves who lie to us about the promises of God, tricking us into unbelief. The rocky soil (vv. 20-21) represents the onslaught of discouraging problems and persecutions that come our way. The thorny ground (v. 22) refers to the continual distractions of riches, pleasure, and worldly things.

Joseph passed each test in his thirteen years of Egyptian captivity. Throughout those years, he never allowed himself to doubt or to become negative about God’s promise that he would one day be a ruler. He also never grew discouraged, though his way grew more difficult. Finally, he never compromised with sin, even when Potiphar’s wife offered him everything in exchange for his purity.

Decide today to reject unbelief, to fight discouragement, and to refuse the distractions of the world. As you pass God’s tests in each of these areas, He will take you from the pit to the prison to the palace!"
01-20,01-20,20,"The Kingdom of Heaven is like a mustard seed planted in a field. It is the smallest of all seeds, but it becomes the largest of garden plants and grows into a tree where birds can come and find shelter in its branches. ",Matthew 13:31-32,"From a tiny seed comes a mighty tree that provides shade and refuge for the animals of the world. In the same way, the Kingdom of God spreads from small and insignificant beginnings.

Joseph is an example of such a seed. From one solitary life, the Holy Spirit provided a huge and fruitful tree that brought life to the world. Under Joseph’s direction during the seven years of plenty, “the granaries were filled to overflowing” (Genesis 41:49). During the time of famine, people came from many lands for the provision Joseph had stored (Genesis 41:56-57).

God desires to bless you, like He did Joseph, with an abundance to be put into a storehouse for others. Such abundance represents your overflow finances, seed that God will place in your hands to bless the world. Be faithful, prepare a storehouse bank account for missions, and ask God for seed. He will turn your “mustard seed” into a mighty tree for the nations!"
01-21,01-21,21,"He makes me as surefooted as a deer, leading me safely along the mountain heights. ",Psalm 18:33,"The deer is an interesting animal with incredible characteristics regarding balance. When suddenly knocked from a high, rocky crag, the deer always lands on its feet and scampers right back up to the place from which it fell.

David said in verse 16 of Psalm 18, “He reached down from heaven and rescued me; he drew me out of deep waters.” Time and time again, David’s kingdom was attacked by Saul, Goliath, and countless armies of enemies. Each time, however, he managed to land securely and to climb right back up to prominence. Why? Because instead of leading David on a treacherous, narrow path, God widened the path beneath his feet “to keep them from slipping” (v. 36).

Being spiritual does not make you immune from attack, but the Lord will prepare you for any battle (Psalm 18:34). When the enemy comes against you, you can “crush an army” and “scale any wall” (v. 29). Don’t lie down and wallow in self-pity when attacked, but stand up like the deer and scamper back up to the top!"
01-22,01-22,22,"Don’t worry about your belongings, for the best of all the land of Egypt is yours. ",Genesis 45:20,"Joseph instructed his brothers to let their father know that he could totally disregard his own possessions and move to Egypt. It was ridiculous to worry about some old, beat-up tents and provisions when Joseph was ruler of Egypt. Huge cartloads of provision and clothing followed the brothers as they returned to Israel. There was no more need for stinginess or financial worry.  Their brother Joseph was providing for all their needs from the wealth of Egypt.

So often we cling to our few, tiny resources when in reality the wealth of heaven belongs to us. One little boy was willing to give up his five pieces of bread and two fish to the Master. His obedience was not a sacrifice, for the Lord not only gave him back his lunch, but He also provided twelve baskets of leftovers to take home (Matthew 14:20)! Those small objects given in obedience were the key that unlocked the wheat fields and oceans of Israel.

Provision is normal when you realize that you have a “relative” who occupies a very important position in the universe. Your brother Jesus—not Pharaoh—sits at the right hand of God! How much more should you be confident about giving up your meager belongings on earth?"
01-23,01-23,23,The sun lives in the heavens where God placed it. It bursts forth like a radiant bridegroom after his wedding. It rejoices like a great athlete eager to run the race. ,Psalm 19:4-5,"Fierce, fiery, and faithful, the sun never wavers from its course, which is set by the Word of God. Neither does it waver because of weather conditions. The only time the sun ever stopped was when Joshua commanded it to obey the Word of the Lord (Joshua 10:12-13)!

The spiritual “sky” is full of spiritual “suns.” They are champions and never waver while running their courses. The woman of Tyre and Sidon was such a champion. She refused to be put off or denied the deliverance of her daughter (Matthew 15:21-28). Her face was set like a flint, like a champion runner in the race of his life.

Joseph, too, was such a champion. His faithful resolution to God’s Word and promise resulted not only in his personal salvation and the feeding of the world but also in his family’s salvation and deliverance.

“The way of the righteous is like the first gleam of dawn, which shines ever brighter until the full light of day” (Proverbs 4:18). Shine on, brothers and sisters! You are champions, and you will finish your courses with joy!"
01-24,01-24,24,"Then he blessed Joseph and said, “May God, the God before whom my grandfather Abraham and my father, Isaac, walked, the God who has been my shepherd all my life, and the angel who has kept me from all harm— may he bless these boys. May they preserve my name and the names of my grandfather Abraham and my father, Isaac. And may they become a mighty nation.” ",Genesis 48:15-16,"Israel’s blessings started with the word may. As Jacob laid his hands upon the heads of Ephraim and Manasseh, he uttered the word and invoked a blessing with it three times.

The psalmist blessed Israel with equal force: “May the Lord respond to your cry. May the God of Israel keep you safe. . . . May he send you help. . . . May he remember all your gifts. . . . May he grant your heart’s desire and fulfill all your plans. May we shout for joy when we hear of your victory. . . . May the Lord answer all your prayers” (Psalm 20:1-5).

The word may could be translated “allow.” In other words, allow God to do what He wants to do for you. You must settle in your mind forever that God wants to bless you. Any doubt will always result in questioning His desire to answer your prayers or to increase, deliver, and help you.

God’s Word has the same power to bless you, as did Jacob’s words for his grandsons. “Pay attention, my child, to what I say. Listen carefully. Don’t lose sight of my words. Let them penetrate deep within your heart, for they bring life and radiant health to anyone who discovers their meaning” (Proverbs 4:20-22).

May the Lord bless you today!"
01-25,01-25,25,"As far as I am concerned, God turned into good what you meant for evil. ",Genesis 50:20,"How marvelously God turns everything around for His glory and purposes! Through all his years of suffering and difficulty, Joseph refused to become bitter. His brothers—the means through which his suffering had come—could have been prime targets for Joseph’s blame. But Joseph didn’t play the blame game. What a class act! Joseph’s wisdom gave him the perspective to see God’s work, not the devil’s, in and through his life.

Paul reminds us in Romans 8:28 that “God causes everything to work together for the good of those who love God and are called according to his purpose for them.” God even turned around Pharaoh’s terrible actions of destroying babies so that Moses could be brought to Pharaoh’s daughter!

There is nothing Satan does that will not turn around on him. God will not be defeated or outwitted. Trust Him, refuse to become bitter, and watch Him turn your situation around for good!"
01-26,01-26,26,"Go down to the lake and throw in a line. Open the mouth of the first fish you catch, and you will find a coin. Take the coin and pay the tax for both of us. ",Matthew 17:27,"Would you have faith to fish for your tax money? Jesus received a word from God that somewhere down in the depths of the Sea of Galilee was a most unusual fish. This unique and special fish, different from all the others, was going to be a source of unusual blessing.

Our faith is often limited by expecting natural sources of blessing rather than believing for supernatural blessing. Faith, however, was a normal way of life for Jesus. He never flinched when telling His disciples that if they had faith “as small as a mustard seed,” [they] “could say to this mountain, ‘Move from here to there,’ and it would move” (Matthew 17:20). He didn’t hesitate to rebuke His disciples when their faith failed to deliver a young boy suffering from seizures.

Having faith does not mean that we will not use natural means to pay our bills or to be delivered. However, our faith must be based upon the knowledge that God is the One working behind the scenes of our lives, preparing provision before we need it.

If you need a miracle, look around every corner . . . and be sure you look in every fish’s mouth!"
01-27,01-27,27,"For where two or three gather together because they are mine, I am there among them. ",Matthew 18:20,"Moses and Aaron formed a divine partnership before Pharaoh. By himself, Moses felt weak and incapable. That’s why the Lord sent him a prayer partner in Aaron. For the next four decades, these two men walked together doing great exploits for God.

“How could one person chase a thousand of them, and two people put ten thousand to flight . . . unless the Lord had given them up?” (Deuteronomy 32:30). Two people who are partners are five times more powerful than two individuals acting alone! Moses and Aaron did not realize how much they would need each other until after their first round with Pharaoh. Not only did Pharaoh reject them, but also their own people rejected them.

Solomon said, “Two people can accomplish more than twice as much as one; they get a better return for their labor. If one person falls, the other can reach out and help. But people who are alone when they fall are in real trouble” (Ecclesiastes 4:9-10).

It is a scientific fact that geese flying in a flock honk to encourage each other. Moses needed a “honker” in Aaron, and you, too, need others to support you. Find your two or three “honkers,” and take on the “Pharaoh” in your life!"
01-28,01-28,28,"You prepare a feast for me in the presence of my enemies. You welcome me as a guest, anointing my head with oil. My cup overflows with blessings. ",Psalm 23:5,"Moses and Aaron stood with great confidence before Pharaoh and declared the Lordship of God. Then, with only a rod, Moses systematically dismantled Egypt. He took the offensive, not the defensive, and began demonstrating to Pharaoh who “I am the Lord” (Exodus 6:2) truly was. The rod and staff of God comforted Moses as he stood and watched God transform his staff into a snake and turn the Nile into blood.

Without armies and guns, diplomacy and politics, or cleverness and reason, Moses prevailed by maintaining a relaxed anointing. As your enemies rant and rave, they do not understand how you can sit so relaxed at the table of the Lord. While they are delivering their tirade in the power of the flesh, you sit in the power of the anointing. You must learn that as you “walk through the dark valley of death” (Psalm 23:4), there is truly nothing to fear.

Relax and lie down in green pastures. God will fight “Pharaoh” while you feed at the table of the Lord."
01-29,01-29,29,"The earth is the Lord’s, and everything in it. The world and all its people belong to him. ",Psalm 24:1,"In quick succession, the gods of Egypt were challenged and defeated. Starting with the Nile (the Egyptians’ primary deity), then following with the sun and the cattle, all Egypt’s false gods were symbolically destroyed. The point of these ten plagues was to reveal that the “earth belongs to the Lord” (Exodus 9:29). God will share His glory with neither empires nor individuals. The hardening of Pharaoh’s heart caused him to provide a setting by which God could gain a name for Himself.

David also came to the realization that “the earth is the Lord’s, and everything in it” (Psalm 24:1). He continued the thought, saying, “Who is the King of glory? The Lord, strong and mighty, the Lord, invincible in battle” (v. 8).

The earth is a battleground where God displays His victory over Satan. Satan may be “the god of this evil world” (2 Corinthians 4:4), but the earth belongs to God. So claim nations as your inheritance, and challenge every god that lays claim to what God has created!"
01-30,01-30,30,"For even I, the Son of Man, came here not to be served but to serve others, and to give my life as a ransom for many. ",Matthew 20:28,"Without contradiction, we can say that Christ came to earth to die. From the beginning of His ministry, Jesus instructed His disciples to take up their cross and follow Him. He told them that unless they ate His flesh and drank His blood, they had no life in them.

Moses’ revelation of the blood is described in Exodus 12:13: “The blood you have smeared on your doorposts will serve as a sign. When I see the blood, I will pass over you. This plague of death will not touch you when I strike the land of Egypt.” The blood of an innocent, meek lamb would substitute for an entire household. Although the firstborn of Israel deserved death just as much as did Pharaoh’s firstborn, the blood of the lamb ransomed (paid for, bought back) their lives.

Like that lamb, Christ was a gentle, humble servant who never sought the glory and exaltation for which the disciples were constantly striving. In humility, never forget Christianity’s focus: we deserve to die, but Christ, the spotless Lamb, died in our place—the “just for the unjust” (1 Peter 3:18 KJV). Rejoice today in the power of the blood of Jesus who ransomed you from death!"
01-31,01-31,31,"O God, ransom Israel from all its troubles. ",Psalm 25:22,"Oh, how great was the redemption that God accomplished for Israel on that night of deliverance! First, they were delivered from death. In like manner, we, too, have been delivered from eternal death—spared from hell and from being cut off from God forever.

Next, they were redeemed from sickness. Psalm 105:37 says that “there were no sick or feeble people among them,” even after many years of hard labor! In the same way, Christ paid for our healing, for we “have been healed by his wounds” (1 Peter 2:24).

Then the Israelites were redeemed from poverty. Overnight they went from being paupers to being prosperous when they “asked the Egyptians for clothing and articles of silver and gold” (Exodus 12:35). The Lord gave them favor and the Egyptians granted their request, providing them with all they needed in order to live in the wilderness and to build a glorious tabernacle for the Lord.

We can claim a full inheritance of provision for any need we have to advance the glory of God. Our redemption was not paid for with the blood of bulls and goats, but with the precious blood of Christ!"
02-01,02-01,32,"Anyone who stumbles over that stone will be broken to pieces, and it will crush anyone on whom it falls. ",Matthew 21:44,"Two options are available in God’s kingdom program: Get with the program, or get run over by the program! The Lord is long-suffering, patient, and kind, but the end result of a willful rebellion against Him is destruction.

The contrast between Pharaoh and Moses is an exact picture of Jesus’ parable in Matthew 21:44. Pharaoh was a powerful, proud, and self-centered leader whose iron will is well documented in biblical history, but Moses was a broken man. Moses was the meekest man on earth—one who had been tamed by his many years of humble service with sheep. He had tried to deliver Israel by himself, yet failed. Failure brought brokenness, and brokenness brought meekness.

Pharaoh, on the other hand, refused to be broken before God. He repeatedly hardened his heart and was eventually led into the waters of the Red Sea. There he was crushed by the falling stone of God’s justice. Break or be broken was the choice, and Pharaoh unwisely chose the latter. As the bodies of dead soldiers washed upon the sand, the message was clear: “The Lord will reign forever and ever!” (Exodus 15:18)."
